Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
0.016047301,4,20,1,2,3735.138,0,1,0,0
0.019278216,1,10,1,0,443.4228,0,0,1,0
0.016760075,2,20,1,2,2097.27,0,1,0,0
0.0,3,21,0,0,732.38,1,0,0,0
0.0,1,32,2,0,994.7052,0,1,0,0
0.0,1,10,1,0,556.6088,0,0,1,0
0.012741089,1,32,2,0,343.5528,0,1,0,0
0.127469857,2,34,1,0,4022.7636,0,0,0,1
0.016687114,1,17,0,1,1076.5986,0,1,0,0
0.09444959,3,12,0,1,4710.535,0,1,0,0
0.0,1,20,1,2,1516.0266,0,1,0,0
0.045463773,2,22,0,2,2187.153,0,1,0,0
0.1000135,2,20,1,2,1589.2646,0,1,0,0
0.047257328,2,22,0,2,2145.2076,0,1,0,0
0.0680243,3,32,2,0,1977.426,0,1,0,0
0.069088961,1,22,0,2,1547.3192,0,1,0,0
0.008596051,2,10,1,0,1621.8888,0,0,1,0
0.069196376,1,20,1,2,718.3982,0,1,0,0
0.034237682,2,34,1,0,2303.668,0,0,0,1
0.10249212,4,15,0,1,2748.4224,0,1,0,0
0.138190277,4,32,2,0,3775.086,0,1,0,0
0.035399923,2,34,1,0,4064.0432,0,0,0,1
0.025698134,3,15,0,1,1587.2672,0,1,0,0
0.057556998,2,34,0,2,214.3876,1,0,0,0
0.025896485,3,22,0,2,4078.025,0,1,0,0
0.099887103,1,12,0,1,838.908,0,1,0,0
0.066693437,1,15,0,1,1065.28,0,1,0,0
0.019356132,1,32,2,0,308.9312,0,1,0,0
0.161466534,1,21,0,0,178.4344,1,0,0,0
0.072221801,1,34,0,2,125.8362,1,0,0,0
0.170348551,1,21,0,0,163.7868,1,0,0,0
0.080829372,1,10,1,0,2741.7644,0,0,1,0
